iter	RMSE
1064	60089.56638
1065	60077.02221
1066	60065.68867
1067	59990.26197
1068	59867.8356
1069	59849.35857
1070	59773.71144
1071	59673.51008
1072	59559.82158
1073	59549.13094
1074	59448.37694
1075	59430.08844
1076	59319.42592
1077	59283.6702
1078	59268.45543
1079	59254.7029
1080	59162.74754
1081	59048.42044
1082	58968.22425
1083	58896.24801
1084	58798.36043
1085	58785.73888
1086	58718.51682
1087	58705.79187
1088	58600.32369
1089	58495.06141
1090	58471.51117
1091	58371.0545
1092	58274.96537
1093	58232.84397
1094	58153.93217
1095	58078.19217
1096	57983.64327
1097	57967.3242
1098	57955.54722
1099	57866.19381
1100	57854.15679
1101	57836.10921
1102	57825.90811
1103	57815.41243
1104	57798.94906
1105	57751.25086
1106	57651.73892
1107	57584.3862
1108	57517.58362
1109	57430.08736
1110	57420.69143
1111	57411.62126
1112	57349.76586
1113	57269.81479
1114	57180.19034
1115	57170.08868
1116	57085.29625
1117	57074.08666
1118	57063.54652
1119	57051.55606
1120	56981.06399
1121	56972.0573
1122	56870.69996
1123	56859.56028
1124	56795.26876
1125	56783.8492
1126	56681.50032
1127	56606.96743
1128	56596.36286
1129	56558.67595
1130	56548.73006
1131	56465.58035
1132	56399.93144
1133	56315.8825
1134	56304.75487
1135	56293.38828
1136	56181.94237
1137	56085.1775
1138	55991.10227
1139	55918.17881
1140	55841.00192
1141	55827.42268
1142	55814.10835
1143	55721.76852
1144	55711.13657
1145	55609.22666
1146	55526.21254
1147	55474.67768
1148	55463.80075
1149	55452.65121
1150	55426.71939
1151	55417.74466
1152	55407.37772
1153	55332.91139
1154	55289.43501
1155	55279.18587
1156	55270.83768
1157	55261.70654
1158	55186.13854
1159	55177.4283
1160	55169.21048
1161	55122.27522
1162	55025.53656
1163	54969.92493
1164	54892.41948
1165	54801.44413
1166	54724.74067
1167	54680.6668
1168	54592.05971
1169	54502.25777
1170	54458.58308
1171	54423.96942
1172	54351.17146
1173	54287.71411
1174	54203.64811
1175	54153.62936
1176	54072.75778
1177	54022.39604
1178	53926.33332
1179	53867.85202
1180	53859.25073
1181	53848.9063
1182	53807.19004
1183	53721.25924
1184	53654.19001
1185	53597.33478
1186	53520.46999
1187	53512.24169
1188	53488.70105
1189	53399.97659
1190	53392.38939
1191	53384.54147
1192	53322.91746
1193	53276.21966
1194	53266.97766
1195	53259.25355
1196	53251.57701
1197	53181.74954
1198	53172.67929
1199	53106.47258
1200	53016.77983
1201	53009.24106
1202	52927.25469
1203	52901.34921
1204	52866.51581
1205	52859.08759
1206	52851.70508
1207	52787.56471
1208	52778.49667
1209	52716.10976
1210	52638.91495
1211	52592.67398
1212	52519.82367
1213	52492.99592
1214	52441.40446
1215	52392.99006
1216	52384.71022
1217	52308.88508
1218	52300.39318
1219	52259.2221
1220	52192.9846
